zestimate.amount,street.name.and.number,zip.code,city,use.code,tax.assessment.year,tax.assessment.value,year.built,lot.size,finished.sqft,bathrooms,bedrooms,region.name,region.type,last.sold.date,last.sold.price,zindex.value
467569,6502 5th Ave,90043,Los Angeles,SingleFamily,2019,408000,1924,3484,660,1,1,Park Mesa Heights,neighborhood,11/22/2006,350000,502000
542745,210 E R St,90744,Wilmington,Duplex,2019,250848,1929,5662,1632,2,4,Wilmington,neighborhood,NA,NA,423700
1661946,8300 Saran Dr,90293,Playa Del Rey,SingleFamily,2019,1581214,2012,4861,2852,3,3,Playa Del Rey,neighborhood,11/24/2015,1572500,NA
1579817,6101 Horner St,90035,Los Angeles,Quadruplex,2019,77301,1939,5676,2996,4,4,Pico-Robertson,neighborhood,NA,NA,1202500
1919460,3774 Amesbury Rd,90027,Los Angeles,SingleFamily,2019,1623205,1934,7518,2300,4,3,Los Feliz,neighborhood,10/07/2005,1325000,1454100
542157,9094 Cranford Ave,91331,Arleta,SingleFamily,2019,515000,1954,5972,1264,2,3,Sun Valley,neighborhood,12/06/2018,515000,483500
550001,9211 S Central Ave,90002,Los Angeles,MultiFamily2To4,2019,328603,2008,2265,1940,4,6,Southeast Los Angeles,neighborhood,12/09/2014,1100000,359400
640232,1315 W 38th St,90062,Los Angeles,SingleFamily,2019,474724,1920,5270,1450,2,4,South Los Angeles,neighborhood,04/23/2014,359000,429200
608663,8401 Samra Dr,91304,West Hills,Condominium,2019,95777,1972,6374,1519,2,4,West Hills,neighborhood,NA,NA,651200
448257,10234 Laurel Canyon Blvd,91331,Pacoima,SingleFamily,2019,256607,1948,7521,956,1,1,Pacoima,neighborhood,01/14/1999,115000,429400
735217,6742 Radford Ave,91606,North Hollywood,SingleFamily,2019,477411,1938,10058,1481,2,3,North Hollywood,neighborhood,09/18/2019,710000,536800
608998,8033 Natick Ave,91402,Panorama City,SingleFamily,2019,357858,1953,6240,1563,2,3,Panorama City,neighborhood,03/15/2006,600000,424200
624025,3533 E 7th St,90023,Los Angeles,Duplex,2019,637023,1914,8660,1917,2,5,Boyle Heights,neighborhood,10/25/2005,520000,413200
1539908,2319 Amherst Ave,90064,Los Angeles,SingleFamily,2019,176889,1953,6250,1751,2,3,Sawtelle,neighborhood,NA,NA,849300
430284,234 W 62nd St,90003,Los Angeles,SingleFamily,2019,188247,1912,5120,1296,1,2,Southeast Los Angeles,neighborhood,12/17/2002,145000,359400
1322536,9001 Ramsgate Ave,90045,Los Angeles,Triplex,2019,399392,1950,6905,2376,3,6,Westchester,neighborhood,NA,NA,1067500
874574,3672 Buckingham Rd,90016,Los Angeles,SingleFamily,2019,790703,1940,6229,1407,2,3,West Adams,neighborhood,05/22/2017,760000,690600
658705,9930 Gaynor Ave,91343,North Hills,SingleFamily,2019,241669,1953,7704,1640,2,3,North Hills,neighborhood,NA,NA,546400
692064,2245 Carlyle Pl,90065,Los Angeles,SingleFamily,2019,306000,1924,7143,932,1,3,Glassell Park,neighborhood,05/31/2018,2300000,744500
701970,6653 Baird Ave,91335,Reseda,SingleFamily,2019,215159,1978,5180,2104,3,4,Reseda,neighborhood,NA,NA,493700
716701,2006 W 41st Dr,90062,Los Angeles,SingleFamily,2019,34012,1913,5501,1131,2,2,South Los Angeles,neighborhood,04/01/2019,680000,429200
754538,12734 Bessemer St,91606,North Hollywood,SingleFamily,2019,559255,1948,5327,1269,1,3,Valley Glen,neighborhood,03/17/2016,527000,661900
715642,1476 W Sepulveda St,90732,San Pedro,SingleFamily,2019,99206,1927,7003,1656,3,3,San Pedro,neighborhood,NA,NA,578000
601175,16338 Vincennes St,91343,North Hills,SingleFamily,2019,247329,1956,7499,1344,2,3,North Hills,neighborhood,03/16/1999,176000,546400
187435,16021 Olympiad Ln,91406,Van Nuys,Townhouse,NA,NA,1986,NA,1400,2.5,3,Lake Balboa,neighborhood,NA,NA,546200
998294,858 S Bedford St UNIT 304,90035,Los Angeles,Condominium,2019,545875,2009,11394,1490,3,3,Pico-Robertson,neighborhood,NA,NA,1202500
